danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.736,0.584,9,-16.304,0.0484,0.421,0.00125,0.0226,0.953,103.827,3uHnCqpyvmVuEG6XgTdCeP,4
0.739,0.571,0,-11.09,0.0724,0.296,0.0,0.0727,0.814,139.82,1wvHzke8kz9R4J80v8sLx2,4
0.638,0.591,4,-11.163,0.501,0.383,0.0,0.977,0.711,124.694,2kSCuANzhTFSg8ypKwTprn,4
0.692,0.897,11,-4.969,0.0398,0.236,3.86e-06,0.116,0.968,106.163,0ENvhTTww1MVOulrzuxSmu,4
0.412,0.633,11,-6.241,0.0604,0.749,0.0,0.388,0.799,90.126,3vST7tho4iT90949PEtM7i,4
0.558,0.455,8,-7.764,0.221,0.869,0.0,0.707,0.544,168.656,0bvgTYp3MEsWmG8imCpJZZ,4
0.533,0.723,4,-7.223,0.0456,0.573,0.0,0.0996,0.571,87.938,1hrzv3L6VgkXub9T34ipcg,4
0.615,0.319,4,-9.178,0.0376,0.639,0.0,0.142,0.828,90.998,1XjFyPzU5z3zbYJQETYGiZ,4
0.504,0.408,9,-9.298,0.0342,0.852,0.0,0.169,0.793,153.615,7CEGXqzXZv7gxsyF30J8cz,4
0.776,0.502,7,-13.916,0.107,0.343,2.03e-05,0.077,0.95,91.116,6gq1nXRbVZYcOxtG20uC2t,4
0.356,0.272,2,-13.263,0.0368,0.508,2.02e-05,0.263,0.509,113.345,0C13P4IghHNFPjt4zIJ8vX,4
0.485,0.259,9,-14.573,0.0578,0.939,0.000323,0.11,0.519,83.637,1xCbDvw3UNReOWq9BbAThc,4
0.482,0.255,11,-9.793,0.031,0.946,9.67e-05,0.107,0.301,95.205,5yFI0Vs3x4EbeIDerT0ck1,3
0.39,0.277,11,-13.61,0.0325,0.906,0.000922,0.1,0.21,144.26,6qCjZi4wOpRZty2wZtyeO0,4
0.57,0.123,9,-20.843,0.0555,0.992,0.938,0.0928,0.569,76.221,3BR0tpy8qMXJpxPOrBGEJe,4
0.525,0.561,11,-9.159,0.0322,0.186,9.21e-06,0.0877,0.584,139.101,0bgMcNCgj6fhJXxnQ0LADj,4
0.425,0.501,1,-17.18,0.0495,0.596,0.0494,0.094,0.791,82.823,4Rwljh2dqc2mIimSzsPATg,4
0.65,0.942,10,-6.887,0.0533,0.374,0.0,0.335,0.927,90.851,5u496fy6Ru5GLZgOnloFTd,4
